Board Number,Snakes,Ladders,Average Game Time
Board 1,19->14; 24->19; 70->65; 33->28; 84->79,73->83; 39->49; 80->90; 57->67; 54->64,28.02
Board 2,42->37; 88->83; 36->31; 41->36; 59->54,6->16; 52->62; 45->55; 32->42; 33->43,27.112
Board 3,56->51; 10->5; 17->12; 22->17; 19->14,61->71; 74->84; 40->50; 9->19; 36->46,28.164
Board 4,25->20; 88->83; 46->41; 7->2; 63->58,79->89; 90->100; 8->18; 60->70; 37->47,26.845
Board 5,91->86; 76->71; 20->15; 14->9; 72->67,13->23; 40->50; 73->83; 8->18; 65->75,27.034
Board 6,50->45; 68->63; 21->16; 43->38; 65->60,83->93; 90->100; 73->83; 7->17; 58->68,28.133
Board 7,52->47; 58->53; 40->35; 89->84; 81->76,2->12; 65->75; 3->13; 90->100; 47->57,27.594
Board 8,84->79; 43->38; 36->31; 65->60; 48->43,44->54; 22->32; 17->27; 77->87; 41->51,27.522
Board 9,90->85; 13->8; 57->52; 53->48; 22->17,6->16; 68->78; 31->41; 81->91; 50->60,27.078
Board 10,31->26; 87->82; 20->15; 39->34; 95->90,38->48; 43->53; 62->72; 66->76; 74->84,28.539
Board 1,66->56; 61->51; 90->80; 52->42; 91->81,3->23; 71->91; 78->98; 54->74; 59->79,27.216
Board 2,93->83; 57->47; 23->13; 15->5; 16->6,42->62; 18->38; 35->55; 64->84; 13->33,25.675
Board 3,78->68; 30->20; 69->59; 17->7; 97->87,41->61; 27->47; 19->39; 9->29; 36->56,28.068
Board 4,30->20; 27->17; 95->85; 71->61; 40->30,64->84; 68->88; 11->31; 51->71; 13->33,26.273
Board 5,22->12; 76->66; 57->47; 49->39; 50->40,56->76; 11->31; 51->71; 5->25; 79->99,26.584
Board 6,40->30; 42->32; 89->79; 14->4; 66->56,5->25; 69->89; 2->22; 18->38; 45->65,27.627
Board 7,72->62; 22->12; 82->72; 26->16; 32->22,12->32; 24->44; 4->24; 46->66; 9->29,26.846
Board 8,34->24; 17->7; 70->60; 56->46; 96->86,62->82; 15->35; 42->62; 39->59; 59->79,25.923
Board 9,87->77; 84->74; 35->25; 52->42; 96->86,65->85; 56->76; 51->71; 69->89; 7->27,28.844
Board 10,21->11; 38->28; 83->73; 86->76; 42->32,67->87; 80->100; 62->82; 69->89; 36->56,25.173
Board 1,58->38; 24->4; 25->5; 69->49; 86->66,36->76; 41->81; 4->44; 30->70; 34->74,29.755
Board 2,47->27; 57->37; 50->30; 95->75; 49->29,10->50; 2->42; 29->69; 9->49; 27->67,30.013
Board 3,92->72; 89->69; 23->3; 51->31; 47->27,48->88; 36->76; 34->74; 56->96; 49->89,26.776
Board 4,54->34; 77->57; 53->33; 34->14; 26->6,42->82; 30->70; 9->49; 29->69; 3->43,24.391
Board 5,62->42; 81->61; 97->77; 50->30; 21->1,39->79; 31->71; 47->87; 27->67; 10->50,26.54
Board 6,93->73; 92->72; 94->74; 91->71; 97->77,25->65; 4->44; 60->100; 3->43; 13->53,50.859
Board 7,55->35; 38->18; 62->42; 58->38; 82->62,45->85; 40->80; 54->94; 34->74; 12->52,20.923
Board 8,50->30; 58->38; 43->23; 97->77; 40->20,53->93; 9->49; 19->59; 35->75; 17->57,23.096
Board 9,42->22; 88->68; 51->31; 91->71; 57->37,21->61; 13->53; 7->47; 2->42; 30->70,29.439
Board 10,20->0; 78->58; 21->1; 88->68; 99->79,57->97; 56->96; 42->82; 12->52; 19->59,24.817
Board 1,67->27; 95->55; 77->37; 45->5; 74->34,11->31; 71->91; 36->56; 72->92; 6->26,39.264
Board 2,97->57; 87->47; 94->54; 93->53; 40->0,58->78; 44->64; 75->95; 74->94; 24->44,34.183
Board 3,71->31; 83->43; 51->11; 53->13; 46->6,44->64; 48->68; 22->42; 62->82; 33->53,35.449
Board 4,72->32; 90->50; 59->19; 61->21; 57->17,35->55; 26->46; 21->41; 78->98; 16->36,63.567
Board 5,99->59; 98->58; 90->50; 69->29; 65->25,77->97; 52->72; 37->57; 72->92; 48->68,46.061
Board 6,81->41; 61->21; 43->3; 41->1; 50->10,47->67; 2->22; 32->52; 34->54; 76->96,32.787
Board 7,82->42; 40->0; 68->28; 88->48; 67->27,45->65; 43->63; 19->39; 15->35; 2->22,55.477
Board 8,64->24; 50->10; 99->59; 58->18; 63->23,9->29; 20->40; 27->47; 15->35; 5->25,58.689
Board 9,95->55; 70->30; 45->5; 75->35; 78->38,71->91; 49->69; 6->26; 34->54; 73->93,39.773
Board 10,94->54; 98->58; 50->10; 67->27; 91->51,17->37; 11->31; 9->29; 66->86; 54->74,53.985
